groupe;forme;frequence;part_du_groupe;sans_diacritique;decision;commentaire
model;modél;1;50 %;;;
dokte-fey;dòktè-fey;1;50 %;;;
dokte-fey;dòktè-fèy;1;50 %;;;
bebel;bèbèl;1;50 %;;;
bebel;bébèl;1;50 %;;;
goj;gòj;1;50 %;;;
goj;goj;1;50 %;oui;;
lelmi;lelmi;1;50 %;oui;;
lelmi;lèlmi;1;50 %;;;
mol;mol;1;50 %;oui;;
mol;mòl;1;50 %;;;
fele;félé;1;50 %;;;
fele;fèlè;1;50 %;;;
akile;akilé;1;50 %;;;
akile;akilè;1;50 %;;;
tere-sere;téré-séré;1;50 %;;;
tere-sere;tèré-séré;1;50 %;;;
folman;fòlman;1;50 %;;;
folman;folman;1;50 %;oui;;
hoket;hokèt;1;50 %;;;
hoket;hòkèt;1;50 %;;;
okside;òksidé;1;50 %;;;
okside;oksidé;1;50 %;;;
vol;vòl;1;50 %;;;
vol;vol;1;50 %;oui;;
fonksyonne;fonksyonné;1;50 %;;;
fonksyonne;fonksyonnè;1;50 %;;;
kwafe-yo;kwafé-yo;1;50 %;;;
kwafe-yo;kwafè-yo;1;50 %;;;
kwafe;kwafé;1;50 %;;;
kwafe;kwafè;1;50 %;;;
estebekwe;èstèbèkwè;1;50 %;;;
estebekwe;èstébékwè;1;50 %;;;
lopilans;lòpilans;1;50 %;;;
lopilans;lopilans;1;50 %;oui;;
fot;fot;1;50 %;oui;;
fot;fòt;1;50 %;;;
seche;sèché;1;50 %;;;
seche;séché;1;50 %;;;
joue;jouè;1;50 %;;;
joue;joué;1;50 %;;;
eksplwate;èksplwatè;1;50 %;;;
eksplwate;èksplwaté;1;50 %;;;
gouvene;gouvèné;1;50 %;;;
gouvene;gouvènè;1;50 %;;;
jodi-la;jodi-la;1;50 %;oui;;
jodi-la;jòdi-la;1;50 %;;;
jenerasyon;jénèrasyon;1;50 %;;;
jenerasyon;jénérasyon;1;50 %;;;
eksetera;èksétéra;1;50 %;;;
eksetera;eksétéra;1;50 %;;;
